tokens,labels
some,1
aspect,1
of,1
thls,0
issue.,1
of,1
"course,",1
hazardous,1
materlal,0
"transportatlon,",0
publlc,0
compensatlon,0
and,1
chronlc,0
health,1
lssues,0
Hill,1
contlnue,0
m,1
be,1
actlve,0
lssues,0
as,1
well,1
1n,0
1935.,0
Medla,0
Page,1
3,1
cm,0
039507,0
The,1
closmg,0
months,1
of,1
1995,1
saw,1
concentrated,1
medla,0
attentlon,0
on,1
the,1
subject,1
of,1
air,1
toxlcs.,0
The,1
flrst,0
annlversary,0
of,1
Bhopal,1
and,1
related,1
actlvltles,0
of,1
envlronmental,1
"groups,",1
the,1
EPA,1
hazardous,1
chemlcals,0
115mm;,0
and.,1
1n,0
depth,1
medla,0
"analysls,",0
made,1
headllnes,0
at,1
the,1
same,1
tune.,0
Reauthor12atlon,0
of,1
Superfund,1
probably,1
galned,0
more,1
medla,0
attentlon,0
than,1
"expected,",1
prlmarlly,0
because,1
of,1
1:5,0
1ntruslon,0
1nto,0
the,1
budget,1
reconclllatlon,0
process.,1
Most,1
of,1
thls,0
attentlon,0
was,1
1n,0
the,1
fom,0
of,1
news,1
rather,1
than,1
edltorlal,0
coverage.,1
1995,1
7,1
as,1
mlght,0
have,1
been,1
antlclpated,0
followlng,0
the,1
December,1
1994,0
Bhopal,1
accldent,0
7,1
became,1
a,1
year,1
of,1
1ntense,0
envlronmental,1
inquiry.,1
Inltlal,0
1nterest,0
was,1
1n,0
the,1
potentlal,0
for,1
acute,1
1nc1dents,0
1n,0
the,1
Unlted,0
States.,1
Storles,0
focused,1
on,1
questlons,0
of,1
{allure,0
to,1
regulate,1
or,1
1nadequacy,0
of,1
exlstlng,0
law.,1
For,1
the,1
"medla,",0
the,1
"Instltute,",0
w.v.,0
release,1
answered,1
the,1
questlon,0
"""can",1
1:,1
happen,1
"here?""",1
Attentlon,0
to,1
"""acute""",1
threats,1
accelerated,1
1n,0
thelr,0
Bhopal,1
retrospectlve.,0
Medla,0
from,1
chemlcal,0
states,1
such,1
as,1
"Texas,",1
"Louisiana,",1
west,1
"Virginia,",1
"Illlnols,",0
Dhlo,0
and,1
Pennsylvanla,0
were,1
concerned,1
prlmarlly,0
about,1
thls,0
lssue,0
Hlth,0
questlons,0
about,1
"training,",1
process,1
safety,1
and,1
deslgn.,0
New,1
Jersey,1
attentlon,0
1ncluded,0
"""chronlc""",0
lssues,0
as,1
well,1
as,1
"""acute,""",1
raising,1
the,1
1dea,0
of,1
affect,1
on,1
"communltles,",0
as,1
opposed,1
to,1
workers.,1
For,1
the,1
most,1
part,1
our,1
actlvltles,0
relatlng,0
to,1
Superfund,1
were,1
proactlve.,0
Bhopal/alr,0
toxlcs,0
actlvltles,0
were,1
responslve.,0
The,1
natlonal,0
medla,0
appeared,1
to,1
understand,1
the,1
chemlcal,0
1ndustry,0
ratlonale,0
for,1
a,1
broad,1
based,1
tax,1
and,1
generally,1
referred,1
to,1
that,1
posltlon,0
1n,0
thelr,0
"coverage,",1
1n,0
addltlon.,0
those,1
reporters,1
who,1
have,1
covered,1
the,1
story,1
over,1
a,1
perlod,0
of,1
time,1
agree,1
mm,0
the,1
1ndustry,0
contentlon,0
that,1
a,1
waste,1
generatlon,0
tax,1
bears,1
llttle,0
relatlonshlp,0
to,1
hazardous,1
waste,1
sltes.,0
Courts,1
and,1
Agency,1
Dealslons,0
Federal,1
Marltlme,0
Commlsslon.,0
A,1
Vlctory,0
I,1
"am,",0
through,1
brlefs,0
and,1
"affldavlts,",0
convlnced,0
an,1
Admlnlstratlve,0
Law,1
Judge,1
to,1
declde,0
that,1
two,1
chemlcal,0
parcel,1
tankers,1
were,1
"""tramps""",1
rather,1
than,1
"""ocean",1
conanon,1
carrlers...,0
and,1
thus,1
exempt,1
from,1
antltrust,0
laws.,1
Whlle,0
thls,0
declslon,0
15,1
llkely,0
to,1
be,1
appealed,1
to,1
the,1
entlre,0
Commlsslon.,0
1:,1
may,1
serve,1
as,1
a,1
precedent,1
to,1
prevent,1
chemlcal,0
parcel,1
tankers,1
from,1
obtalnlng,0
antltrust,0
exemptlons,0
for,1
price,1
settlng,0
and,1
market,1
allocatlon,0
agreements.,1
Those,1
actlvltles,0
could,1
cost,1
the,1
chemlcal,0
1ndustry,0
2mm,0
mllllon,0
dollars,1
per,1
year,1
1n,0
1ncreased,0
rates,1
on,1
bulk,1
chemlcal,0
exports,1
and,1
unports.,0
Federal,1
Energy,1
Regulatory,1
Commlsslon.,0
Another,1
vlctoryl,0
The,1
Federal,1
Energy,1
Regulatory,1
Commlsslon,0
(mum,0
has,1
approved,1
a,1
rule,1
on,1
natural,1
gas,1
Page,1
4,1
cm,0
means,1
transportatlon,0
that,1
adopts,1
many,1
CMA,1
recommendatlons.,0
The,1
rule,1
(Order,1
No.,1
4357,0
15,1
1ntended,0
to,1
promote,1
competltlon,0
1n,0
the,1
natural,1
gas,1
market,1
by,1
facllltatlng,0
the,1
movement,1
of,1
gas,1
from,1
the,1
producer,1
to,1
the,1
user.,1
When,1
fully,1
unplemented,0
by,1
the,1
"pipellnes,",0
there,1
Will,1
be,1
a,1
substantlal,0
cost,1
savlngs,0
to,1
1ndustrlal,0
users,1
of,1
gas.,1
The,1
annual,1
savlngs,0
for,1
cm,0
members,1
15,1
estlmated,0
at,1
53m,0
to,1
$750,1
mllllon.,0
In,1
addltlon.,0
cm,0
and,1
1:5,0
Coalltlon,0
partners,1
successfully,1
argued,1
agalnst,0
1ncluslon,0
of,1
a,1
new,1
block,1
bllllng,0
mechanlsm,0
1n,0
the,1
flnal,0
rule.,1
CMA,1
testlfled,0
that,1
block,1
bllllng,0
would,1
slgnlflcantly,0
ralse,0
the,1
price,1
of,1
natural,1
gas,1
for,1
1ndustrlal,0
consumers.,1
A,1
study,1
submltted,0
by,1
cm,0
1nd1cated,0
that,1
annual,1
cost,1
to,1
the,1
chemlcal,0
1ndustry,0
would,1
be,1
approxlmately,0
$550,0
million.,1
FERC'S,0
actlon,0
15,1
a,1
major,1
Vlctory,0
for,1
cm,0
and,1
other,1
1ndustrlal,0
users.,1
However.,1
the,1
Commlsslon,0
15,1
contlnulng,0
1::,0
assessment,1
of,1
the,1
advantages,1
and,1
dlsadvantages,0
of,1
block,1
bllllng,0
and,1
further,1
actlon,0
15,1
5:111,0
posslble.,0
11.,1
ISSUES,1
AND,1
woman,0
5mm:,0
Hazardous,1
Waste,1
(Superfund),1
Congresslonal,0
Developments,1
and,1
Response,1
Senate,1
Actlvlty,0
The,1
Senate,1
passed,1
3.x.,0
2005,1
on,1
September,1
"25,",1
the,1
Superfund,1
reauthorlzatlon,1
for,1
Elva,0
years.,1
The,1
leglslatlon,0
Hill,1
1ncrease,0
nearly,1
flvefold,0
the,1
money,1
avaliable,0
to,1
clean,1
up,1
abandoned,1
hazardous,1
waste,1
sltes,0
by,1
freezlng,0
the,1
feedstock,1
tax,1
and,1
unposlng,0
a,1
broadibased,0
exclse,0
tax,1
on,1
all,1
manufacturers.,1
Senator,1
Robert,1
Packwood,1
miom,0
and,1
other,1
members,1
of,1
the,1
Flnance,0
Commlttee,1
put,1
the,1
Superfund,1
fundlng,0
package,1
1n,0
the,1
budget,1
reconclllatlon,0
mu,0
whlch,0
passed,1
the,1
Senate.,1
Senator,1
Jesse,1
Helms,1
”Ham,0
offered,1
an,1
amendment,1
to,1
delete,1
the,1
Superfund,1
fundlng,0
from,1
the,1
budget,1
reconclllatlon,0
leglslatlon.,0
but,1
he,1
lost,1
as,1
m,1
32.,1
The,1
"SenatE,",0
once,1
"agaln,",0
strongly,1
conflmed,0
1::,0
support,1
for,1
a,1
broadibased,0
tax,1
and,1
freezlng,0
feedstock,1
to,1
flnance,0
the,1
Superfund,1
cleanup,1
program.,1
House,1
Actlvlty,0
The,1
House,1
Voted,0
391733,0
on,1
Dec.,1
10,1
m,1
reauthorlze,0
the,1
Superfund,1
cleanup,1
program,1
by,1
slgnlflcantly,0
1ncreaslng,0
the,1
tax,1
of,1
chemlcal,0
feedstock:,0
and,1
011.,0
The,1
House,1
narrowly,1
defeated,1
the,1
Ways,1
&,1
Means,1
Commlttee's,0
broadibased,0
tax,1
whlch,0
was,1
opposed,1
by,1
Presldent,0
"Reagan,",1
most,1
of,1
the,1
"muons,",0
the,1
"envlronmentallsts,",0
and,1
a,1
broad,1
Coalltlon,0
of,1
"manufacturers,",1
Hlth,0
thls,0
Page,1
5,1
cm,0
039509,0
"support,",1
the,1
House,1
passed,1
Representatlves,0
Thomas,1
Downey's,1
(Drum,0
and,1
13111,0
Frenzel's,1
mimm,0
amendment.,1
"2207206,",0
to,1
flnance,0
the,1
bulk,1
of,1
the,1
510.3,0
bllllon,0
Superfund,1
from,1
a,1
$2,1
bllllon,0
tax,1
on,1
chemlcal,0
"feedstocks,",1
53.1,0
bllllon,0
from,1
a,1
crude,1
011,0
"tax,",1
52,1
billion,1
from,1
a,1
waste,1
tax.,1
51.5,0
bllllon,0
from,1
general,1
revenues,1
and,1
smaller,1
amounts,1
from,1
other,1
sources.,1
The,1
program,1
provlslons,0
were,1
a,1
compromlse,0
of,1
the,1
Energy,1
&,1
Commerce,1
and,1
Publlc,0
Works,1
&,1
Transportatlon,0
Commlttees,0
proposals.,1
They,1
1nclude,0
cleanup,1
schedules.,1
cleanup,1
"standards,",1
cltlzen,0
"sluts,",0
settlement,1
procedures,1
and,1
rlghtitoiknow,0
provlslons,0
1nclud1ng,0
a,1
requlrement,0
that,1
certaln,0
companles,0
report,1
annually,1
thelr,0
total,1
releases,1
of,1
chemlcals,0
that,1
can,1
cause,1
chronlc,0
health,1
hazards.,1
The,1
House,1
defeated,1
an,1
amendment,1
to,1
create,1
a,1
federal,1
cause,1
of,1
actlon.,0
"Thus,",1
nelther,0
the,1
House,1
or,1
Senate,1
mu,0
contalns,0
Victims,1
compensatlon,0
"provlslons,",0
whlch,0
was,1
a,1
key,1
CMA,1
prlorlty,0
1n,0
Superfund,1
reauthorlzatlon.,0
The,1
House,1
and,1
Senate,1
conference,1
on,1
Superfund,1
reauthorlzatlon,1
could,1
begln,0
1n,0
late,1
"January,",1
after,1
the,1
conferees,1
have,1
been,1
appolnted.,0
But,1
major,1
concerns,1
need,1
to,1
be,1
resolved,1
on,1
the,1
fundlng,0
"level,",1
mechanlsm,0
and,1
program,1
lssues.,0
One,1
of,1
the,1
major,1
program,1
lssues,0
to,1
be,1
resolved,1
1n,0
conference,1
15,1
how,1
much,1
dlscretlon,0
to,1
give,1
EPA.,1
The,1
House,1
mu,0
spells,1
out,1
1n,0
great,1
detall,0
what,1
EPA,1
should,1
do,1
and,1
when,1
to,1
do,1
"1:,",0
where,1
the,1
Senate,1
mu,0
provldes,0
more,1
general,1
guldance.,0
The,1
Superfund,1
Task,1
Group,1
of,1
CMA'S,1
Government,1
Relatlons,0
Commlttee,1
will,1
now,1
focus,1
1::,0
attentlon,0
on,1
the,1
House,1
and,1
Senate,1
conferees.,1
A,1
strategy,1
will,1
be,1
developed,1
and,1
agresslvely,0
unplemented,0
on,1
the,1
tax,1
and,1
program,1
lssues.,0
Before,1
Congress,1
adjourned,1
for,1
the,1
year,1
on,1
December,1
"20,",1
they,1
made,1
one,1
last,1
effort,1
to,1
provlde,0
fundlng,0
for,1
the,1
Superfund,1
program.,1
on,1
December,1
13,1
the,1
House,1
and,1
Senate,1
conference,1
on,1
budget,1
reconclllatlon,0
began,1
to,1
conslder,0
the,1
Superfund,1
fundlng,0
lssues.,0
They,1
agreed,1
on,1
a,1
compromlse,0
of,1
the,1
Senate,1
fundlng,0
mechanlsm,0
(freeze,1
feedstock:,0
and,1
a,1
broadibased,0
ram,0
and,1
the,1
House,1
fundlng,0
level,1
of,1
$10,1
bllllon,0
over,1
Elva,0
years.,1
But,1
when,1
the,1
conference,1
report,1
went,1
back,1
to,1
the,1
House,1
for,1
"approval,",1
Represenatlve,0
Dan,1
Rostenkowskl,0
(Dim),0
successfully,1
moved,1
to,1
strlke,0
the,1
Superfund,1
provlslons,0
because,1
of,1
the,1
broadibased,0
tax.,1
Untll,0
Congress,1
ajoumed,1
December,1
20,1
wlthout,0
passlng,0
budget,1
"reconclllatlon,",0
the,1
House,1
contlnued,0
to,1
delete,1
Superfund,1
and,1
the,1
Senate,1
kept,1
insisting,1
Superfund,1
be,1
1ncluded.,0
Th1:,0
deadlock,1
over,1
the,1
dlfferent,0
fundlng,0
approaches,1
approved,1
by,1
the,1
House,1
and,1
Senate,1
Signals,0
how,1
dlfflcult,0
the,1
fundlng,0
lssue,0
Will,1
be,1
to,1
resolve,1
1n,0
1935.,0
Regulatory,1
Developments,1
and,1
Response,1
Natlonal,0
Prlorlty,0
L15:,0
Comments.,1
The,1
EMC'S,0
Superfund,1
Implementatlon,0
Task,1
Group,1
submltted,0
comments,1
to,1
EPA,1
on,1
proposed,1
amendments,1
to,1
the,1
Natlonal,0
Prlorlty,0
Llst.,0
The,1
prlmary,0
cm,0
concern,1
was,1
EPA'S,1
retalnlng,0
flexlblllty,0
1n,0
requlrlng,0
cleanups,1
under,1
Superfund,1
or,1
RCRA.,1
we,1
1nd1cated,0
Page,1
5,1
cm,0
039510,0
that,1
mandatlng,0
that,1
all,1
cleanups,1
be,1
governed,1
by,1
one,1
statute,1
may,1
be,1
unduly,1
rigid,1
"and,",1
1n,0
fact.,0
slow,1
down,1
the,1
cleanup,1
process.,1
Pollcy,0
"Development,",1
Analytlcal,0
and,1
Program,1
Actlvltles,0
Natlonal,0
Contlngency,0
Plan,1
Litigation.,1
The,1
EMC,1
authorlzed,0
cm,0
to,1
1ntervene,0
1n,0
lltlgatlon,0
challenglng,0
EPA'S,1
revlslons,0
to,1
the,1
Natlonal,0
Contlngency,0
Plan.,1
CMA'S,1
concerns,1
are:,1
(17,0
EPA,1
1nclud1ng,0
technology,1
standards,1
1n,0
addltlon,0
m,1
healthibased,0
standards,1
for,1
purposes,1
of,1
determlnlng,0
what,1
are,1
relevant,1
cleanup,1
standards;,1
(27,0
EPA,1
establlshlng,0
costieffectlveness,0
crlterla,0
1ncon515tent,0
mm,0
the,1
statute;,1
and,1
(37,0
EPA,1
1ncorporat1ng,0
other,1
regulatory,1
Agency,1
standards,1
for,1
purposes,1
of,1
deflnlng,0
the,1
relevant,1
cleanup,1
standards,1
that,1
go,1
beyond,1
the,1
statute's,1
requlrements.,0
Communlcatlons,0
Nearly,1
all,1
of,1
the,1
News,1
Servlce,0
Dlvlslon's,0
efforts,1
and,1
resources,1
were,1
dedlcated,0
to,1
Superfund,1
durlng,0
the,1
October,1
to,1
December,1
perlod.,0
Brleflngs,0
on,1
Superfund,1
lssues,0
for,1
key,1
medla,0
contlnued,0
durlng,0
the,1
"perlod,",0
and,1
were,1
concentrated,1
on,1
Washlngton,0
correspondents,1
for,1
the,1
followlng,0
newspapers,1
and,1
news,1
organlzatlons:,0
Assoclated,0
"Press,",1
Dow,1
Jones,1
News,1
"Servlce,",0
Charleston,1
1w.v.7,0
Dally,1
"Mall,",0
Dttaway,0
News,1
"Servlce,",0
Detrolt,0
(M1ch.7,0
Free,1
"Press,",1
Scrlpps*ﬂoward,0
News,1
"Servlces,",0
USA,1
"Today,",1
Wall,1
Street,1
"Journal,",1
Chlcago,0
TrlbunE.,0
Chlcago,0
"SuniTlmes,",0
aongvasmnal,0
"Quarterly,",1
Newhouse,1
News,1
"SerV1CE,",0
and,1
Gannett,1
News,1
Servlce.,0
Durlng,0
the,1
last,1
elght,0
months,1
of,1
"1935,",0
cm,0
"offlcers,",0
membericompany,0
representatlves,0
and,1
assoclatlon,0
staff,1
have,1
partlclpated,0
1n,0
133,1
brleflngs,0
on,1
Superfund,1
lssues,0
1n,0
more,1
than,1
70,1
cltles.,0
Televlslon,0
and,1
radlo,0
actlvlty,0
1ncreased,0
durlng,0
the,1
perlod,0
on,1
Superfund,1
"lssues,",0
especlally,0
durlng,0
November,1
and,1
December.,1
cm,0
made,1
extenslve,0
use,1
of,1
1:5,0
"""alternatlve",0
TV,1
"network,""",1
provldlng,0
speclally,0
targeted,1
newsfeeds,1
to,1
key,1
Congresslonal,0
dlstrlcts.,0
Subjects,1
covered,1
1n,0
the,1
newsfeeds,1
1ncluded,0
the,1
economc,0
unpact,0
of,1
Downey,1
Superfund,1
fundlng,0
proposal,1
on,1
chemlcal,0
producers;,1
proprlety,0
of,1
Ways,1
and,1
Means,1
Commlttee,1
passed,1
Verslon,0
of,1
Superfund,1
fundlng;,0
and,1
1dent1£1catlon,0
of,1
1ndustr1es,0
whlch,0
have,1
contrlbuted,0
waste,1
to,1
Superfund,1
sltes,0
7,1
that,1
pay,1
no,1
Superfund,1
taxes.,1
Targeted,1
TV,1
newsfeeds,1
were,1
dlstrlbuted,0
1n,0
nearly,1
40,1
key,1
Congresslonal,0
dlstrlcts.,0
"Usage,",1
dependlng,0
on,1
the,1
"subject,",1
ran,1
between,1
25%,1
and,1
75%.,1
Market,1
reach,1
of,1
the,1
targeted,1
newsfeeds,1
ranged,1
from,1
1.9,1
mllllon,0
to,1
4.5,1
mllllon,0
people.,1
Radlo,0
newsfeeds,1
were,1
also,1
produced,1
on,1
slmllar,0
Superfund,1
lssues,0
durlng,0
the,1
perlod.,0
Usage,1
averaged,1
nearly,1
5%.,1
The,1
department,1
also,1
asslsted,0
1n,0
preparatlon,0
of,1
wrltten,0
materlals,0
for,1
the,1
Government,1
Relatlons,0
Staff,1
for,1
use,1
durlng,0
House,1
Superfund,1
floor,1
debates.,1
Page,1
7,1
cm,0
039511,0
Immedlately,0
prior,1
to,1
the,1
House,1
Vote,0
on,1
Superfund,1
the,1
department,1
prepared,1
and,1
placed,1
a,1
full,1
page,1
advertlsement,0
1n,0
the,1
Washlngton,0
Post,1
urglng,0
members,1
to,1
Vote,0
NO,1
on,1
the,1
Downey,1
Amendment.,1
EPA,1
15,1
dlstrlbutlng,0
"""Cleanlng",0
"Up""",1
(any:,0
waste,1
slte,0
cleanup,1
him,1
to,1
1:5,0
reglonal,0
offlces,0
for,1
use,1
1n,0
communlty,0
relatlons,0
programs.,1
The,1
£11m,0
has,1
been,1
dlstrlbuted,0
to,1
more,1
than,1
an,1
televlslon,0
statlons.,0
More,1
than,1
110,1
prlnts,0
have,1
been,1
sold,1
to,1
cm,0
member,1
companles,0
for,1
use,1
1n,0
communlty,0
and,1
employee,1
relatlons,0
programs.,1
CMA'S,1
Communlty,0
Infomatlon,0
Task,1
Group,1
15,1
launchlng,0
a,1
£11m,0
dlstrlbutlon,0
plan,1
that,1
1ncludes,0
cm,0
"1nvolvement,",0
personal,1
televlslon,0
"contacts,",1
"publlclty,",0
natlonal,0
platforms,1
for,1
screenlng,0
and,1
promotlng,0
the,1
£11m.,0
Hazardous,1
Waste,1
Management,1
(RCRA7,0
Regulatory,1
Developments,1
and,1
Response,1
Land,1
Ban,1
Prohibitions.,1
In,1
early,1
"January,",1
EPA,1
will,1
propose,1
1:5,0
flrst,0
set,1
of,1
rules,1
to,1
prohibit,1
the,1
dlsposal,0
of,1
many,1
hazardous,1
wastes,1
1n,0
or,1
on,1
the,1
ground.,1
Land,1
dlsposal,0
Will,1
be,1
prohlblted,0
unless,1
the,1
level,1
of,1
of,1
the,1
hazardous,1
constltuents,0
1n,0
the,1
waste,1
15,1
less,1
than,1
the,1
"""health",1
based,1
"standard""",1
EPA,1
will,1
establlsh,0
for,1
over,1
350,1
hazardous,1
"constltuents,",0
or,1
the,1
"""best",1
avaliable,0
"technology""",1
15,1
used,1
to,1
treat,1
the,1
waste,1
to,1
reduce,1
the,1
hazards.,1
The,1
RCRA,1
Regulatlons,0
Task,1
Group,1
will,1
prepare,1
comments,1
on,1
thls,0
unportant,0
and,1
lengthy,1
new,1
rule.,1
Inorganlc,0
Leachlng,0
Model.,1
on,1
November,1
"27,",1
"1935,",0
EPA,1
lssued,0
a,1
flnal,0
rule,1
adoptlng,0
a,1
model,1
that,1
predlcts,0
the,1
"leachlng,",0
mlgratlon,0
and,1
perslstence,0
of,1
1norgan1c,0
wastes,1
1n,0
the,1
land.,1
EPA,1
will,1
use,1
the,1
model,1
to,1
determlne,0
whlch,0
1norgan1c,0
materlals,0
should,1
be,1
llsted/dellsted,0
as,1
hazardous,1
wastes.,1
The,1
model.,1
Hlth,0
some,1
"Varlatlons,",0
Will,1
also,1
be,1
used,1
to,1
detemlne,0
whlch,0
1norgan1c,0
wastes,1
Will,1
be,1
banned,1
from,1
land,1
dlsposal.,0
The,1
RCRA,1
Regulatlons,0
Task,1
Group,1
commented,1
on,1
the,1
proposed,1
"rule,",1
and,1
15,1
revlewlng,0
the,1
flnal,0
rule,1
to,1
detemlne,0
whether,1
to,1
challenge,1
1:,1
1n,0
court.,1
Drganlc,0
Leachlng,0
Model.,1
on,1
November,1
"27,",1
"1935,",0
EPA,1
proposed,1
a,1
model,1
for,1
predictlng,0
the,1
"leachlng,",0
"mlgratlon,",0
and,1
perslstence,0
or,1
organlc,0
wastes.,1
The,1
methodology,1
and,1
1ntended,0
use,1
of,1
the,1
organlc,0
model,1
15,1
51mllar,0
to,1
the,1
1norgan1c,0
model,1
dlscussed,0
above.,1
The,1
RCRA,1
regulatlons,0
Task,1
Group,1
15,1
preparlng,0
comments,1
for,1
filing,1
on,1
January,1
"13,",1
1935.,0
Burnlng,0
of,1
Hazardous,1
Waste,1
1n,0
Bollars.,0
CMA,1
Hill,1
partlclpate,0
1n,0
3,1
Keystone,1
workshop,1
on,1
January,1
"29,",1
1995,1
regardlng,0
the,1
lssue,0
of,1
burnlng,0
hazardous,1
waste,1
1n,0
hollers.,0
A,1
consensus,1
may,1
emerge,1
that,1
could,1
fom,0
the,1
basls,0
of,1
a,1
rule,1
EPA,1
15,1
developlng,0
to,1
regulate,1
thls,0
actlvlty.,0
The,1
Boller,0
Work,1
Group,1
has,1
prepared,1
a,1
regulatory,1
proposal,1
that,1
CMA,1
will,1
present,1
at,1
the,1
Page,1
s,1
cm,0
039512,0
Workshop.,1
The,1
proposal,1
dlvldes,0
hazardous,1
waste,1
burnlng,0
1nto,0
three,1
categorles,0
mm,0
greater,1
regulatlon,0
for,1
fuel,1
that,1
contalns,0
the,1
largest,1
percentage,1
of,1
hazardous,1
waste.,1
Pollcy,0
"Development,",1
Analytlcal,0
and,1
Program,1
Actlvltles,0
1994,0
Hazardous,1
Waste,1
Survey.,1
The,1
EMC'S,0
RCRA,1
Regulatlons,0
Task,1
Group,1
has,1
publlshed,0
the,1
results,1
of,1
the,1
1994,0
Hazardous,1
Waste,1
Survey,1
of,1
member,1
companles.,0
The,1
1994,0
results,1
show,1
a,1
contlnulng,0
trend,1
of,1
decreased,1
rellance,0
on,1
landfllls,0
for,1
dlsposal,0
of,1
hazardous,1
"waste,",1
but,1
an,1
1ncreased,0
rellance,0
on,1
1nc1nerators,0
for,1
dlsposal.,0
The,1
survey,1
trend,1
analysls,0
compares,1
dlsposal,0
practlces,0
for,1
the,1
years,1
199171994.,0
1995,1
Hazardous,1
Waste,1
Survey.,1
The,1
EMC,1
has,1
authorlzed,0
the,1
RCRA,1
Regulatlons,0
Task,1
Group,1
to,1
conduct,1
a,1
1995,1
Hazardous,1
waste,1
Survey,1
of,1
member,1
companles.,0
The,1
survey,1
to,1
be,1
completed,1
later,1
1n,0
"1935,",0
Hill,1
provlde,0
CMA,1
Hlth,0
the,1
most,1
recent,1
data,1
on,1
the,1
waste,1
dlsposal,0
practlces,0
of,1
the,1
member,1
companles.,0
The,1
raw,1
data,1
and,1
trends,1
analyses,1
are,1
Valuable,0
advocacy,1
tools,1
for,1
leglslatlve,0
and,1
regulatory,1
matters,1
concernlng,0
hazardous,1
waste,1
management.,1
RCRA,1
Codlflcatlon,0
Rule,1
Litigation.,1
The,1
EMC,1
authorlzed,0
cm,0
to,1
1ntervene,0
1n,0
lltlgatlon,0
challenglng,0
EPA'S,1
regulatlons,0
deslgned,0
to,1
codlfy,0
many,1
of,1
the,1
new,1
requlrements,0
of,1
the,1
Hazardous,1
and,1
Solid,1
Waste,1
Amendments,1
of,1
1934.,0
These,1
regulatlons,0
cover,1
the,1
bulk,1
llquld,0
"ban,",1
minimum,1
technologlcal,0
"requlrements,",0
the,1
contlnulng,0
releases,1
"provlslon,",0
the,1
interim,1
small,1
quantlty,0
generator,1
"provlslons,",0
the,1
preconstructlon,0
"ban,",1
the,1
labelllng,0
requlrements,0
for,1
hazardous,1
waste,1
"fuels,",1
the,1
recordkeeplng,0
requlrements,0
for,1
hazardous,1
waste,1
"exports,",1
the,1
waste,1
mlnlmlze,0
"provlslons,",0
and,1
collectlon,0
systems,1
and,1
groundwater,1
monltorlng,0
provlslons.,0
Although,1
these,1
requlrements,0
were,1
supposed,1
to,1
merely,1
codlfy,0
statutory,1
"language,",1
the,1
flnal,0
regulatlons,0
Either,0
added,1
provlslons,0
and/or,1
deleted,1
certaln,0
llmltlng,0
factors.,1
Supreme,1
Court,1
Hazardous,1
Waste,1
Siting,1
Litigation.,1
The,1
EMC,1
has,1
authorlzed,0
CMA,1
filing,1
an,1
amlcus,0
brlef,0
1n,0
the,1
v.5.,0
supreme,1
Court...s,0
conslderatlon,0
of,1
a,1
local,1
ordlnance,0
bannlng,0
all,1
permanent,1
onislte,0
dlsposal,0
facilities,1
Hlthln,0
the,1
City,1
of,1
"Falrmont,",0
w.,1
Va.,1
The,1
questlons,0
to,1
